kic,prot,teff
4660242,18.615,4388
4660255,1.195,3917
4661213,27.894,4394
4662431,14.832,3537
4663999,13.113,4317
4664679,10.363,4291
4669176,37.568,3680
4669820,11.546,4297
4669977,23.15,3410
4670813,12.657,4286
4671547,8.063,4059
4672900,40.26,3478
4673107,9.661,4388
4679850,40.814,4303
4680268,27.783,3909
4680642,39.078,3517
4681067,5.128,4244
4681294,15.149,4115
4682430,14.505,4110
4725292,1.157,4096
4725531,25.982,3810
4725734,16.654,3963
4726803,22.594,4324
4728952,26.417,3965
4729962,23.18,3607
4730248,38.864,4205
4731525,44.763,3428
4732250,14.43,3959
4732983,31.649,3988
4733023,14.874,4067
4735754,20.429,3679
4735815,30.382,3670
4736554,29.783,3936
4736615,14.13,4318
4737595,22.173,4353
4738781,11.33,4391
4738796,12.639,4353
4739885,32.073,3858
4739906,20.959,4187
4740688,16.895,4083
4741455,5.019,3804
4742000,21.051,4153
4742705,17.062,4091
4742905,13.823,4092
4743351,13.676,3918
4743682,11.35,4163
4751044,18.752,3783
4751558,21.975,4356
4751604,20.062,4212
4752465,40.378,3452
4752967,12.566,4067
4753561,29.515,4353
4754115,28.14,3926
4754691,10.419,4251
4755441,51.96,3538
4756732,29.594,3652
4758926,19.562,3752
4758956,40.428,3457
4761031,25.826,3935
4762283,2.746,4224
4764328,37.919,4300
4764652,31.25,3445
4764938,21.327,4082
4768453,20.458,3933
4769443,28.627,4140
4770232,13.938,4028
4770707,44.121,3472
4772476,12.42,4324
4773065,18.347,3859
4773250,34.22,3697
4774574,3.28,4321
4814376,10.098,4257
4815670,29.766,4290
4816200,10.654,4265
4818671,17.869,3962
4818821,32.581,3851
4819423,1.757,4296
4819454,34.277,4314
4819564,0.386,4125
4819766,11.378,3644
4820690,17.4,4353
4821932,24.333,4353
4824160,11.934,4259
4824868,21.603,3867
4827004,39.754,4288
4827161,20.946,3478
4830721,19.605,4178
4831331,20.803,3509
4832355,32.404,4031
4832452,11.956,4211
4832572,40.462,3334
4832949,9.748,4071
4833367,14.239,3829
4838549,12.858,4075
4839411,17.234,4343
4839493,42.148,3981
4840994,19.757,4324
4841064,27.547,4343
4841651,16.079,4124
4844987,22.287,3716
4846603,11.831,4016
4846813,29.147,4201
4848778,28.362,3928
4850610,18.41,3743
4851349,11.464,4263
4852019,6.689,4120
4852379,38.464,4250
4853320,20.734,4312
4857405,17.481,4015
4861287,38.289,3724
4863874,46.456,3529
4902090,21.763,4212
4902107,10.427,4203
4902806,38.142,3525
4904484,27.316,4257
4904647,41.679,3512
4907159,1.582,4312
4907701,18.061,4356
4908089,24.306,3835
4908565,17.911,3921
4908997,13.51,4069
4909186,61.359,3306
4909253,6.345,4059
4909364,20.88,4183
4912729,21.642,4213
4913910,31.968,4082
4915573,14.563,4087
4915749,14.124,3975
4916269,29.049,4266
4917139,15.113,3812
4917957,29.636,4224
4918154,22.532,3847
4918333,19.854,3718
4919569,12.306,4047
4921143,20.284,3285
4929092,16.461,4314
4929508,15.237,4166
4930560,10.367,4078
4931205,18.058,4101
4931385,12.259,3841
4932287,31.25,3789
4934630,18.847,4313
4934715,36.03,4366
4935950,12.75,4201
4939621,30.273,3836
4940319,14.692,4201
4941223,27.456,3474
4945607,12.491,4307
4946028,38.357,3999
